Class,Message
Ham,Hey there! Are we still on for lunch today?
Spam,Congratulations! You've won a free iPhone. Click here to claim.
Ham,I'll call you later tonight.
Spam,Claim your FREE vacation now!!! Limited time offer.
Ham,Don’t forget to bring the documents to work.
Spam,You have been selected for a $1000 Walmart gift card.
Ham,Can you pick up some groceries on your way home?
Spam,WIN BIG CASH PRIZES! Text WIN to 90999.
Ham,Let’s meet at the cafe around 3 PM.
Spam,Get rich quick! Start earning $5000/week from home.
Ham,I’m running a bit late be there soon.
Spam,URGENT! Your account has been compromised. Click to fix.
Ham,Thanks for the update. Sounds good!
Spam,Exclusive deal just for you! Buy now and save 90%.
Ham,Happy birthday! Hope you have a wonderful day.
